"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_HEME_METABOLISM",0.238505747126437,0.411216805390408,0.152144922367565,0.232350103537366,1.09908800838814,177,"MOCOS;RNF19A;HAGH;CA2;FN3K;EPOR;RNF123;TRIM58;EZH1;LPIN2;NNT;ELL2;GCLM;MAP2K3;RIOK3;BLVRA;HTATIP2;ADIPOR1;BLVRB;SLC11A2;ARL2BP;RHD;FECH;ARHGEF12;PC;SIDT2;PPP2R5B;ATP6V0A1;SPTB;CAST;MGST3;MARCHF8;SLC30A1;KHNYN;CLCN3;ISCA1;MXI1;CAT;ENDOD1;ALDH6A1;FTCD;BTG2;TFRC;SLC25A38;OSBP2;BTRC;USP15;RHCE;SLC10A3;LAMP2;AQP3"
"HALLMARK_ANDROGEN_RESPONSE",0.311688311688312,0.472640846972398,0.0937465422491719,-0.258366387872663,-1.07062314076244,99,"SPDEF;PMEPA1;ABCC4;LIFR;ITGAV;HSD17B14;ACSL3;ABHD2;CDK6;HPGD;CENPN;MERTK;STEAP4;GSR;SCD;DBI"
"HALLMARK_IL2_STAT5_SIGNALING",0.289772727272727,0.472640846972398,0.135740943810425,0.223417223639492,1.06163194826605,186,"P4HA1;CA2;MAFF;MXD1;AHNAK;IRF6;ANXA4;ITGA6;BHLHE40;DENND5A;CAPN3;MAP3K8;GADD45B;NT5E;RORA;SNX14;PLIN2;NFIL3;SWAP70;CSF1;KLF6;ST3GAL4;CCNE1;ETV4;ODC1;IFNGR1;GABARAPL1;PTGER2;GUCY1B1;IL4R;WLS;NFKBIZ;CD44;XBP1;CDCP1;F2RL2;DCPS;FLT3LG;NDRG1;MYO1C;PLEC;SLC2A3;P2RX4"
"HALLMARK_INFLAMMATORY_RESPONSE",0.310924369747899,0.472640846972398,0.129442887745046,0.223601520037599,1.05972248495104,174,"HBEGF;TNFSF9;CXCL8;TLR3;ADM;NAMPT;MXD1;CCL20;IL6;ATP2A2;HPN;IRF7;GCH1;CSF1;KLF6;CDKN1A;ICOSLG;HRH1;PSEN1;IRF1;CALCRL;HAS2;CCL2;SLC11A2;ICAM1;PTGER2;SLC7A2;IL4R;SGMS2;RIPK2;ATP2C1;PLAUR;NFKBIA"
"HALLMARK_TGF_BETA_SIGNALING",0.311942959001783,0.472640846972398,0.0992333343771191,-0.294010819511964,-1.09067854522367,54,"LEFTY2;PMEPA1;LTBP2;FURIN;CDKN1C;THBS1;ACVR1;SERPINE1;TGFBR1;NCOR2;CTNNB1;ARID4B;SMAD1;ENG;RAB31;BMPR2;SPTBN1;TGFB1"
"HALLMARK_APOPTOSIS",0.41025641025641,0.573941562313655,0.11146266692298,0.216961005399365,1.00640581223048,158,"ISG20;DDIT3;HGF;ANXA1;ERBB2;IL6;GADD45B;SLC20A1;GCH1;BCL2L10;GPX1;CDKN1A;WEE1;TNF;IFNGR1;PSEN1;IRF1;F2;CASP8;SAT1;PSEN2;PPP2R5B;ERBB3;PMAIP1;ETF1;DNM1L;CD44;CFLAR;CASP9;HSPB1;SOD2;MCL1;FAS;SQSTM1"
"HALLMARK_GLYCOLYSIS",0.410687022900763,0.573941562313655,0.0753093764172773,-0.223060954400677,-1.01423181096244,191,"CDK1;STMN1;DEPDC1;COL5A1;HK2;KIF20A;P4HA2;HMMR;IDH1;AK3;CENPA;ZNF292;RARS1;GLCE;AURKA;IGFBP3;ALDH7A1;EGFR;SAP30;MERTK;PLOD1;GCLC;DPYSL4;NANP;NSDHL;CASP6;CXCR4;QSOX1;STC2;CACNA1H;SLC37A4;CHST2;MDH1;VLDLR;PLOD2;TPST1;NASP;HOMER1"
"HALLMARK_MYC_TARGETS_V2",0.413237924865832,0.573941562313655,0.0833634065110386,-0.271479353246483,-1.02770717548784,58,"MPHOSPH10;PLK1;HK2;TCOF1;PLK4;CBX3;TMEM97;SLC19A1;GNL3;NPM1;UNG;MCM4"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.431034482758621,0.582479030754893,0.108820126769161,0.207863025297275,0.999453308124908,200,"MPC1;PDK4;ALAS1;SLC25A4;ACADSB;CPT1A;PHYH;NNT;OGDH;MTRR;LDHA;NDUFS1;MDH2;GPI;SDHB;ACAT1;SLC25A12;ACAA1;POR;MGST3;SUPV3L1;ETFDH;ACADVL;ATP6V0E1;ATP6V1H;ACO2;ISCA1;ATP5F1B;CYCS;HSPA9;ALDH6A1;NDUFV1;GRPEL1;MRPL15;ATP6V0C;RETSAT;PDHA1;PDHX;IDH3A;VDAC2;ECI1;IDH2;NDUFV2;RHOT2;ATP6V0B;ATP6AP1;CYC1;ECH1;DLST;COX15;ATP6V1E1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.631493506493506,0.830912508544087,0.0572461135202884,-0.221841228300414,-0.919269547982545,99,"MAPK10;CDK1;ADCY2;CAB39L;PIK3R3;ITPR2;E2F1;TIAM1;CAMK4;EGFR;RPS6KA1;CXCR4"
